"userId","rating","recipeId"
1400002,5,16700
1400002,5,8652
1400002,5,16884
1400002,5,21014
1400002,5,52547
1400003,5,12409
1400004,5,12720
1400004,5,18906
1400005,5,213742
1400005,5,6984
1400005,5,22645
1400005,5,23600
1400005,5,19402
1400005,5,10687
1400005,5,24094
1400008,5,10497
1400008,5,17393
1400009,5,78370
1400010,5,22831
1400010,5,83557
1400010,5,73124
1400010,5,282213
1400010,5,9023
1400010,5,17066
